title,category,rating,quote
完美的世界 / A Perfect World / 强盗保镳,1993 / 美国 / 剧情 犯罪,9.1,坏人的好总是比好人的好来得更感人。
玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,2010 / 美国 / 喜剧 动画 奇幻 冒险,8.8,跨度十五年的欢乐与泪水。
花样年华 / 花樣年華 / In the Mood for Love,2000 / 香港 / 剧情 爱情,8.6,偷情本没有这样美。
卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),2004 / 英国 南非 意大利 美国 / 剧情 历史 战争,8.9,当这个世界闭上双眼，他却敞开了怀抱。
海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港),2016 / 美国 / 剧情 家庭,8.6,我们都有权利不与自己的过去和解。
被解救的姜戈 / Django Unchained / 被解放的姜戈  /  决杀令(台),2012 / 美国 / 剧情 动作 西部 冒险,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。
"三块广告牌 / Three Billboards Outside Ebbing, Missouri / 意外(台)  /  广告牌杀人事件(港)",2017 / 美国 英国 / 剧情 犯罪,8.7,怼天怼地，你走后，她与世界为敌。
恋恋笔记本 / The Notebook / 深情日记  /  写我情真,2004 / 美国 / 剧情 爱情,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
你看起来好像很好吃 / おまえうまそうだな / 你看起来很好吃(台)  /  你看上去好像很好吃,2010 / 日本 / 剧情 动画 儿童,8.8,感情不分食草或者食肉。
海洋 / Océans / Oceans  /  海洋,2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片,9.0,大海啊，不全是水。
